"","BIC","MAP","SPBIC"
"iso_combo3_211",-1234.46754543166,-124.136665903496,-1228.24100876237
"iso_combo3_212",-1247.96736322031,-137.636483692148,-1241.74082655103
"iso_combo3_213",-1198.22463141133,-87.8937518831664,-1191.99809474204
"iso_combo3_214",-1129.31748813363,-18.9866086054707,-1123.09095146435
"iso_combo3_215",-1392.57746477837,-282.246585250203,-1386.35092810908
"iso_combo3_216",-1417.7784365344,-307.447557006238,-1411.55189986511
"iso_combo3_217",-1409.04075714816,-298.709877619992,-1402.81422047887
"iso_combo3_218",-1377.50324250213,-267.172362973969,-1371.27670583285
"iso_combo3_219",-1393.06115688813,-282.730277359971,-1386.83462021885
"iso_combo3_220",-1193.20294794518,-82.8720684170112,-1186.97641127589
"iso_combo3_221",-1351.28161969529,-240.950740167131,-1345.05508302601
"iso_combo3_222",-1343.29907255654,-232.968193028375,-1337.07253588725
"iso_combo3_223",-1321.4232067988,-211.092327270632,-1315.19667012951
"iso_combo3_224",-1345.33642361343,-235.005544085265,-1339.10988694414
"iso_combo3_225",-1178.17957981623,-67.8487002880671,-1171.95304314694
"iso_combo3_226",-1387.90394777861,-277.573068250446,-1381.67741110932
"iso_combo3_227",-1378.43385712824,-268.102977600076,-1372.20732045895
"iso_combo3_228",-1361.65621670002,-251.325337171856,-1355.42968003073
"iso_combo3_229",-1205.64074017068,-95.3098606425114,-1199.41420350139
"iso_combo3_230",-1365.80986141111,-255.478981882944,-1359.58332474182
"iso_combo3_231",-1352.5754396413,-242.244560113137,-1346.34890297201
"iso_combo3_232",-1192.61610767944,-82.2852281512754,-1186.38957101015
"iso_combo3_233",-1344.02887909425,-233.697999566091,-1337.80234242497
"iso_combo3_234",-1154.64983365475,-44.3189541265849,-1148.42329698546
"iso_combo3_235",-1200.78002668602,-90.4491471578536,-1194.55349001673
"iso_combo3_236",-1430.63400173593,-320.303122207766,-1424.40746506664
"iso_combo3_237",-1393.14328193564,-282.812402407472,-1386.91674526635
"iso_combo3_238",-1349.92689382439,-239.596014296224,-1343.7003571551
"iso_combo3_239",-1431.43850101051,-321.107621482349,-1425.21196434123
"iso_combo3_240",-1388.01101685195,-277.680137323791,-1381.78448018267
"iso_combo3_241",-1432.34594695455,-322.015067426385,-1426.11941028526
"iso_combo3_242",-1442.34131585442,-332.010436326252,-1436.11477918513
"iso_combo3_243",-1426.41071485795,-316.079835329783,-1420.18417818866
"iso_combo3_244",-1393.11881339645,-282.787933868289,-1386.89227672717
"iso_combo3_245",-1194.01812517909,-83.6872456509257,-1187.7915885098
"iso_combo3_246",-1332.05832831794,-221.727448789774,-1325.83179164865
"iso_combo3_247",-1402.77729952346,-292.446419995295,-1396.55076285417
"iso_combo3_248",-1449.88307407765,-339.552194549488,-1443.65653740837
"iso_combo3_249",-1408.40789489984,-298.077015371676,-1402.18135823055
"iso_combo3_250",-1448.99894983054,-338.668070302381,-1442.77241316126
"iso_combo3_251",-1446.67779713619,-336.346917608025,-1440.4512604669
"iso_combo3_252",-1419.46134286337,-309.130463335207,-1413.23480619408
"iso_combo3_253",-1455.66540757619,-345.334528048024,-1449.4388709069
"iso_combo3_254",-1253.56481381218,-143.233934284018,-1247.3382771429
"iso_combo3_255",-1268.22948335223,-157.898603824062,-1262.00294668294
"iso_combo3_256",-1398.32046741702,-287.989587888857,-1392.09393074773
"iso_combo3_257",-1339.66704121461,-229.336161686447,-1333.44050454532
"iso_combo3_258",-1390.07232952149,-279.741449993328,-1383.8457928522
"iso_combo3_259",-1401.12588661062,-290.79500708246,-1394.89934994134
"iso_combo3_260",-1377.31732321385,-266.98644368569,-1371.09078654457
"iso_combo3_261",-1346.18661688274,-235.855737354577,-1339.96008021345
"iso_combo3_262",-1146.2253750562,-35.8944955280325,-1139.99883838691
"iso_combo3_263",-1364.3567395806,-254.025860052433,-1358.13020291131
"iso_combo3_264",-1325.08479061965,-214.753911091482,-1318.85825395036
"iso_combo3_265",-1338.01863967989,-227.687760151727,-1331.7921030106
"iso_combo3_266",-1333.16941928652,-222.838539758357,-1326.94288261723
